Date;Speed;Density;Bt;Bz
20190731145634;;;7.43;3.97
20190731145635;;;7.55;4.01
20190731145636;;;7.67;3.99
20190731145637;;;7.62;4.0
20190731145638;;;7.56;3.97
20190731145639;;;7.5;3.96
20190731145640;;;7.46;4.02
20190731145641;;;7.25;3.93
20190731145642;;;7.21;3.89
20190731145643;;;7.28;3.88
20190731145644;;;7.29;3.95
20190731145645;;;7.27;4.0
20190731145646;;;7.34;3.96
20190731145647;;;7.39;3.91
20190731145648;;;7.45;4.02
20190731145649;;;7.4;4.15
20190731145650;;;7.37;4.09
20190731145651;;;7.54;4.11
20190731145652;;;7.55;4.16
20190731145653;;;7.46;4.14
20190731145654;;;7.27;4.05
20190731145655;;;7.26;3.96
20190731145656;;;7.15;3.88
20190731145657;;;7.22;3.96
20190731145658;;;7.32;4.09
20190731145659;;;7.3;4.05
20190731145700;;;7.32;4.05
20190731145701;;;7.34;4.07
20190731145702;;;7.25;4.09
20190731145703;;;7.23;4.11
20190731145704;;;7.3;3.99
20190731145705;;;7.13;3.86
20190731145706;;;7.08;3.86
20190731145707;;;7.07;3.78
20190731145708;;;7.28;3.99
20190731145709;;;7.29;3.97
20190731145710;;;7.37;4.05
20190731145711;;;7.4;4.16
20190731145712;;;7.17;3.99
20190731145713;;;7.06;3.82
20190731145714;;;6.98;3.87
20190731145715;;;7.0;3.96
20190731145716;;;7.16;3.92
20190731145717;;;7.3;3.97
20190731145718;;;7.28;3.97
20190731145719;;;7.16;3.94
20190731145720;;;7.14;3.9
20190731145721;;;7.11;3.89
20190731145722;;;7.08;3.91
20190731145723;;;7.03;3.9
20190731145724;;;6.97;3.81
20190731145725;;;6.96;3.79
20190731145726;;;6.99;3.84
20190731145727;;;7.01;3.81
20190731145728;;;7.03;3.8
20190731145729;;;6.92;3.83
20190731145730;;;7.01;3.87
20190731145731;;;6.98;3.83
20190731145732;;;6.86;3.75
20190731145733;;;6.85;3.85
20190731145734;;;6.8;3.81
20190731145735;;;6.84;3.79
20190731145736;;;7.07;3.87
20190731145737;;;6.96;3.85
20190731145738;;;7.05;3.89
20190731145739;;;6.99;3.86
20190731145740;;;6.95;3.85
20190731145741;;;6.94;3.82
20190731145742;;;7.13;3.94
20190731145743;;;7.0;3.87
20190731145744;;;7.1;3.89
20190731145745;;;7.08;3.9
20190731145746;;;7.03;3.83
20190731145747;;;6.95;3.85
20190731145748;;;6.87;3.78
20190731145749;;;6.95;3.86
20190731145750;;;6.92;3.86
20190731145751;;;7.02;4.07
20190731145752;;;7.15;4.1
20190731145753;;;6.93;3.75
20190731145754;;;7.0;3.84
20190731145755;;;7.07;3.85
20190731145756;;;7.09;3.94
20190731145757;;;7.06;3.97
20190731145758;;;7.03;3.89
20190731145759;;;7.08;3.95
20190731145800;;;7.13;3.96
20190731145801;;;7.29;4.01
20190731145802;;;7.32;3.98
20190731145803;;;7.33;3.94
20190731145804;;;7.33;3.94
20190731145805;;;7.31;3.95
20190731145806;;;7.42;4.02
20190731145807;;;7.26;3.92
20190731145808;;;7.09;3.74
20190731145809;;;7.04;3.78
20190731145810;;;7.12;3.76
20190731145811;;;7.09;3.71
20190731145812;;;7.1;3.71
20190731145813;;;7.2;3.82
20190731145814;;;7.18;3.81
20190731145815;;;7.34;3.94
20190731145816;;;7.36;3.88
20190731145817;;;7.41;3.89
20190731145818;;;7.36;3.82
20190731145819;;;7.33;3.76
20190731145820;;;7.19;3.68
20190731145821;;;6.93;3.54
20190731145822;;;6.6;3.36
20190731145823;;;6.4;3.32
20190731145824;;;6.44;3.38
20190731145825;;;6.56;3.56
20190731145826;;;6.62;3.65
20190731145827;;;6.65;3.73
20190731145828;;;6.7;3.67
20190731145829;;;7.09;3.9
20190731145830;;;7.03;3.9
20190731145831;;;7.14;3.94
20190731145832;;;7.2;4.0
20190731145833;;;7.03;4.23
20190731145834;;;7.03;4.28
20190731145835;;;7.23;3.98
20190731145836;;;7.21;3.72
20190731145837;;;7.12;3.66
20190731145838;;;7.16;3.74
20190731145839;;;7.18;3.84
20190731145840;;;7.13;3.66
20190731145841;;;7.18;3.63
20190731145842;;;7.22;3.61
20190731145843;;;7.23;3.67
20190731145844;;;7.24;3.67
20190731145845;;;7.19;3.83
20190731145846;;;7.2;4.24
20190731145847;;;7.18;4.25
20190731145848;;;7.13;4.23
20190731145849;;;6.9;3.97
20190731145850;;;6.88;3.73
20190731145851;;;7.04;3.6
20190731145852;;;7.13;3.7
20190731145853;;;7.15;3.85
20190731145854;;;7.08;3.69
20190731145855;;;7.19;3.74
20190731145856;;;7.05;3.84
20190731145857;;;7.01;4.22
20190731145858;;;7.02;4.77
20190731145859;;;7.25;4.89
20190731145900;;;7.44;5.05
20190731145901;;;7.34;4.95
20190731145902;;;7.47;5.14
20190731145903;;;7.36;4.85
20190731145904;;;7.36;4.97
20190731145905;;;7.51;5.26
20190731145906;;;7.57;5.36
20190731145907;;;7.64;5.14
20190731145908;;;7.36;4.82
20190731145909;;;7.37;4.91
20190731145910;;;7.37;4.92
20190731145911;;;7.39;4.81
20190731145912;;;7.33;4.76
20190731145913;;;7.11;4.55
20190731145914;;;7.12;4.41
20190731145915;;;7.2;4.37
20190731145916;;;7.27;4.3
20190731145917;;;7.17;4.26
20190731145918;;;7.1;4.13
20190731145919;;;7.1;4.15
20190731145920;;;7.14;4.1
20190731145921;;;7.16;4.0
20190731145922;;;7.05;3.94
20190731145923;;;7.13;3.94
20190731145924;;;7.09;3.96
20190731145925;;;7.05;3.98
20190731145926;;;7.13;4.0
20190731145929;;;7.08;3.95
20190731145930;;;7.3;4.11
20190731145931;;;7.36;4.53
20190731145932;;;7.13;4.23
20190731145933;;;7.13;4.06
20190731145934;;;7.37;4.17
20190731145935;;;7.28;3.86
20190731145936;;;7.3;3.8
20190731145937;;;7.34;3.89
20190731145938;;;7.31;3.96
20190731145939;;;7.39;3.96
20190731145940;;;7.33;3.99
20190731145941;;;7.23;4.12
20190731145942;;;7.28;4.44
20190731145943;;;7.22;4.33
20190731145944;;;7.29;4.25
20190731145945;;;7.27;4.21
20190731145946;;;7.29;4.33
20190731145947;;;7.47;4.51
20190731145948;;;7.37;4.68
20190731145949;;;7.32;4.72
20190731145950;;;7.24;4.51
20190731145951;;;7.31;4.48
20190731145952;;;7.36;4.57
20190731145953;;;7.29;4.58
20190731145954;;;7.23;4.49
20190731145955;;;7.21;4.58
20190731145956;;;7.35;4.58
20190731145957;;;7.38;4.65
20190731145958;;;7.41;4.65
20190731145959;;;7.33;4.71
20190731150000;;;7.07;4.35
20190731150001;;;7.11;3.61
20190731150002;;;7.31;3.47
20190731150003;;;7.29;3.32
20190731150004;;;7.44;3.41
20190731150005;;;7.53;3.51
20190731150006;;;7.62;3.62
20190731150007;;;7.51;3.52
20190731150008;;;7.45;3.59
20190731150009;;;7.42;3.69
20190731150010;;;7.55;3.85
20190731150011;;;7.62;3.9
20190731150012;;;7.59;4.04
20190731150013;;;7.63;4.03
20190731150014;;;7.77;4.06
20190731150015;;;7.73;3.96
20190731150016;;;7.62;3.89
20190731150017;;;7.57;3.78
20190731150018;;;7.94;4.07
20190731150019;;;7.73;3.76
20190731150020;;;7.76;3.91
20190731150021;;;7.81;4.0
20190731150022;;;7.82;3.99
20190731150023;;;7.69;3.99
